"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean","max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","Di","Ui","iucn_code","threats"
"Bodianus_bilunulatus",1550.6284,"Bodianus_bilunulatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus bilunulatus",12.4876310023796,21.9494658867219,8.85278224969119,1581.5532,0.658776987948576,0.518518518518518,0.875143007404746,0.876441819108137,"benthic invertivore","demersal","day","coral",0.411408435362506,0.0130650884608581,"LC","nthr"
"Bodianus_diana",1474.7756,"Bodianus_diana_J_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus diana",9.40449275976891,19.4635829105007,6.94170002204101,1497.0005,0.46709566490854,0.555555555555555,0.921388339787544,0.930175317911474,"benthic invertivore","demersal","day","coral",0.407543273124633,0.00329674837005774,"LC","nthr"
"Bodianus_dictynna",1529.6726,"Bodianus_dictynna_J_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus dictynna",8.15373376952928,15.4375024220166,7.84763043378036,1492.27285,0.509377606976772,0.555555555555555,0.975192696440552,0.906777166547883,"benthic invertivore","demersal","day","coral",0.409475920652612,0.00773839523397946,"LC","nthr"
"Bodianus_diplotaenia",1560.547,"Bodianus_diplotaenia_F_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus diplotaenia",18.2734787232427,26.8006115327382,9.02172882209385,1540.92655,0.720055866680724,0.518518518518518,0.878078473778327,0.900706523149098,"benthic invertivore","demersal","day","coral",0.416595195187392,0.016813639239693,"LC","nthr"
"Bodianus_eclancheri",1625.4331,"Bodianus_eclancheri_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus eclancheri",10.0155586138361,20.0529120788408,7.10055553113313,1583.50596666667,0.678396201512661,0.259259259259259,0.815739435577551,0.784289247449363,"benthic invertivore","demersal","day","coral",0.424005728280221,0.0235680618139185,"LC","nthr"
"Bodianus_frenchii",1482.0952,"Bodianus_frenchii_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus frenchii",19.659434764553,29.8148733660893,8.41246061446232,1541.90625,0.636889242716169,0.555555555555555,0.714748633721656,0.685833469427709,"benthic invertivore","demersal","day","rock",0.479906315578654,0.0174166145486669,"NT","nthr"
"Bodianus_loxozonus",1675.0034,"Bodianus_loxozonus_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus loxozonus",8.53650376655762,16.0043347919412,8.38668057154729,1654.41725,0.628992969108177,0.592592592592593,0.904347621747593,0.882903334874237,"benthic invertivore","demersal","day","coral",0.412292792335774,0.0102749648143006,"LC","nthr"
"Bodianus_mesothorax",1547.391,"Bodianus_mesothorax_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus mesothorax",12.6206601294468,21.5533820416848,9.56675528709085,1493.189375,0.509377606976772,0.444444444444444,0.926782973175463,0.935515953825054,"benthic invertivore","demersal","day","coral",0.406918811405535,0.0145807583781105,"LC","nthr"
"Bodianus_perditio",1485.3657,"Bodianus_perditio_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus perditio",10.0810158384528,20.2696227566729,7.20468146218368,1539.2476,0.729775081459776,0.555555555555555,0.787543292101103,0.84429747260324,"benthic invertivore","demersal","day","rock",0.480656000075947,0.0186322149586228,"LC","nthr"
"Bodianus_rufus",1562.0542,"Bodianus_rufus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus rufus",18.3041603740897,30.0740844565555,9.59310184985483,1567.8318,0.598435373184158,0.518518518518518,0.907830676028199,0.919282422264303,"benthic invertivore","demersal","day","coral",0.408481427928923,0.00511805124406137,"LC","nthr"
"Bodianus_scrofa",1580.8108,"Bodianus_scrofa_A_1","YES",1,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus scrofa",14.3815526375285,23.941705144191,8.35248514189503,1600.7826,0.612138919646678,0.555555555555555,0.773596743061968,0.719583769977673,"benthic invertivore","demersal","day","rock",0.476648192578662,0.0214131277825844,"VU","thr"
"Bodianus_unimaculatus",1484.382,"Bodianus_unimaculatus_F_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bodianus","Bodianus unimaculatus",22.3656165893969,37.9320240414591,12.9143972509915,1469.15035,0.620753273302325,0.555555555555555,0.651624589078927,0.62247363979542,"benthic invertivore","demersal","day","rock",0.485101956516719,0.020350019924042,"LC","nthr"
"Bolbometopon_muricatum",1415.751,"Bolbometopon_muricatum_A_1","NO",1,1,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Bolbometopon","Bolbometopon muricatum",9.50168052300712,15.448848821658,6.61651928678597,1362.01705,0.821770629705083,0.259259259259259,0.929498970877333,0.929089997164793,"excavator","demersal","day","coral",0.509154363347389,0.0864164775665804,"VU","thr"
