"sp_name","Importance"
"Chromis_vanderbilti",NA
"Chromis_viridis",NA
"Chromis_weberi","of no interest"
"Chromis_westaustralis",NA
"Chromis_xanthochira",NA
"Chromis_xanthura",NA
"Chromis_xutha",NA
"Chrysiptera_biocellata","minor commercial"
"Chrysiptera_bleekeri",NA
"Chrysiptera_brownriggii","minor commercial"
"Chrysiptera_caesifrons",NA
"Chrysiptera_cyanea",NA
"Chrysiptera_flavipinnis",NA
"Chrysiptera_galba",NA
"Chrysiptera_glauca","minor commercial"
"Chrysiptera_hemicyanea",NA
"Chrysiptera_notialis",NA
"Chrysiptera_oxycephala",NA
"Chrysiptera_parasema",NA
"Chrysiptera_rapanui",NA
"Chrysiptera_rex",NA
"Chrysiptera_rollandi","of no interest"
"Chrysiptera_springeri",NA
"Chrysiptera_starcki",NA
"Chrysiptera_talboti",NA
"Chrysiptera_taupou",NA
"Chrysiptera_traceyi",NA
"Chrysiptera_tricincta",NA
"Chrysiptera_unimaculata","minor commercial"
"Chrysoblephus_cristiceps","commercial"
"Chrysoblephus_gibbiceps","commercial"
"Chrysoblephus_laticeps","commercial"
"Cirrhilabrus_cyanopleura",NA
"Cirrhilabrus_exquisitus",NA
"Cirrhilabrus_flavidorsalis",NA
"Cirrhilabrus_katherinae",NA
"Cirrhilabrus_laboutei",NA
"Cirrhilabrus_lineatus",NA
"Cirrhilabrus_punctatus",NA
"Cirrhilabrus_randalli",NA
"Cirrhilabrus_scottorum",NA
"Cirrhilabrus_solorensis",NA
"Cirrhilabrus_temminckii",NA
"Cirrhilabrus_walindi",NA
"Cirrhitichthys_aprinus","subsistence fisheries"
"Cirrhitichthys_falco","of no interest"
"Cirrhitichthys_oxycephalus",NA
"Cirrhitops_fasciatus",NA
"Cirrhitops_hubbardi",NA
"Cirrhitus_pinnulatus","commercial"
"Cirrhitus_rivulatus","commercial"
"Cirripectes_alboapicalis","of no interest"
"Cirripectes_alleni",NA
"Cirripectes_auritus","of no interest"
"Cirripectes_castaneus",NA
"Cirripectes_chelomatus","of no interest"
"Cirripectes_filamentosus","of no interest"
"Cirripectes_fuscoguttatus","of no interest"
"Cirripectes_hutchinsi","of no interest"
"Cirripectes_polyzona","of no interest"
"Cirripectes_springeri","of no interest"
"Cirripectes_stigmaticus","of no interest"
"Cirripectes_vanderbilti","of no interest"
"Cirripectes_variolosus","of no interest"
"Cleidopus_gloriamaris","of no interest"
"Clepticus_parrae","minor commercial"
"Clinus_latipennis",NA
"Clinus_superciliosus",NA
"Clinus_venustris",NA
"Cnidoglanis_macrocephalus","minor commercial"
"Cochleoceps_bicolor",NA
"Cochleoceps_orientalis",NA
"Conger_verreauxi","commercial"
"Congiopodus_peruvianus",NA
"Conniella_apterygia",NA
"Coradion_altivelis","of no interest"
"Coradion_chrysozonus","minor commercial"
"Coris_auricularis",NA
"Coris_aurilineata",NA
"Coris_aygula","minor commercial"
"Coris_batuensis","minor commercial"
"Coris_bulbifrons",NA
"Coris_caudimacula",NA
"Coris_centralis",NA
"Coris_cuvieri","minor commercial"
"Coris_debueni",NA
"Coris_dorsomacula",NA
"Coris_formosa","minor commercial"
"Coris_gaimard","commercial"
"Coris_hewetti",NA
"Coris_julis","minor commercial"
"Coris_picta",NA
"Coris_pictoides",NA
"Coris_roseoviridis",NA
"Coris_sandeyeri",NA
"Coris_venusta",NA
"Coryphopterus_alloides",NA
"Coryphopterus_dicrus",NA
"Coryphopterus_eidolon",NA
