"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","esthe_score_mean"
"Amblyeleotris_gymnocephala",1296.466,"Amblyeleotris_gymnocephala_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris gymnocephala",15.9884726362496,23.8273000044342,8.63985210054134,1359.662
"Amblyeleotris_japonica",1360.3741,"Amblyeleotris_japonica_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris japonica",16.8568703260184,23.9994975212018,9.05467652798582,1365.35805
"Amblyeleotris_periophthalma",1454.2373,"Amblyeleotris_periophthalma_A_3","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris periophthalma",16.1456864452288,23.616170765337,8.83713923241065,1465.53756666667
"Amblyeleotris_steinitzi",1383.633,"Amblyeleotris_steinitzi_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris steinitzi",14.7468699411279,22.793817009921,9.84256962686421,1392.65815
"Amblyeleotris_sungami",1356.9629,"Amblyeleotris_sungami_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris sungami",15.9598594240764,22.9611562182732,5.71757061056699,1388.2908
"Amblyeleotris_wheeleri",1444.8875,"Amblyeleotris_wheeleri_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblyeleotris","Amblyeleotris wheeleri",16.1364173903324,23.6782235053372,7.12187713337236,1492.3643
"Amblyglyphidodon_aureus",1658.964,"Amblyglyphidodon_aureus_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon aureus",8.81628137543851,13.4396076774924,4.41437003877286,1545.37426666667
"Amblyglyphidodon_batunai",1443.958,"Amblyglyphidodon_batunai_A_2","YES",1,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon batunai",8.71362037888834,13.4024561199583,4.07406082151285,1397.00773333333
"Amblyglyphidodon_curacao",1379.7534,"Amblyglyphidodon_curacao_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon curacao",9.8329706983665,14.2882711374331,4.98475975590334,1402.15183333333
"Amblyglyphidodon_flavilatus",1461.699,"Amblyglyphidodon_flavilatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon flavilatus",9.39457058559765,13.907534142395,4.50769984434803,1472.85075
"Amblyglyphidodon_indicus",1521.4922,"Amblyglyphidodon_indicus_J_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon indicus",10.1717006465843,14.397718675532,5.24443245214852,1400.83036666667
"Amblyglyphidodon_leucogaster",1371.922,"Amblyglyphidodon_leucogaster_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon leucogaster",9.10956000949613,13.7078402969469,4.35710573979367,1336.7173
"Amblyglyphidodon_melanopterus",1267.2938,"Amblyglyphidodon_melanopterus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon melanopterus",9.52234402833066,13.8562715069279,4.59199616805035,1251.5933
"Amblyglyphidodon_orbicularis",1411.5405,"Amblyglyphidodon_orbicularis_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon orbicularis",9.86938285141748,14.1352541211491,4.72788052289677,1412.5831
"Amblyglyphidodon_ternatensis",1609.588,"Amblyglyphidodon_ternatensis_J_1","NO",1,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Amblyglyphidodon","Amblyglyphidodon ternatensis",10.1744201937237,14.603520171028,4.9610528841666,1554.25993333333
