"sp_worms","name_worms","mayo_campgn","fisheyes_campgn","esthe_mayo"
"Aphareus_rutilans","Aphareus_rutilans_A_1",0,0,NA
"Aphareus_rutilans","Aphareus_rutilans_A_2",0,0,NA
"Aphareus_rutilans","Aphareus_rutilans_A_3",0,0,NA
"Aploactisoma_milesii","Aploactisoma_milesii_A_3",0,0,NA
"Aplodactylus_arctidens","Aplodactylus_arctidens_A_2",0,0,NA
"Aplodactylus_etheridgii","Aplodactylus_etheridgii_A_2",0,0,NA
"Aplodactylus_lophodon","Aplodactylus_lophodon_A_2",0,0,NA
"Aplodactylus_lophodon","Aplodactylus_lophodon_J_1",0,0,NA
"Aplodactylus_westralis","Aplodactylus_westralis_A_1",0,0,NA
"Apogon_atradorsatus","Apogon_atradorsatus_A_1",0,0,NA
"Apogon_atricaudus","Apogon_atricaudus_A_1",0,0,NA
"Apogon_binotatus","Apogon_binotatus_A_2",0,0,NA
"Apogon_dovii","Apogon_dovii_A_1",0,0,NA
"Apogon_imberbis","Apogon_imberbis_A_1",0,0,NA
"Apogon_lachneri","Apogon_lachneri_A_2",0,0,NA
"Apogon_maculatus","Apogon_maculatus_A_1",0,0,NA
"Apogon_pacificus","Apogon_pacificus_A_1",0,0,NA
"Apogon_retrosella","Apogon_retrosella_A_1",0,0,NA
"Apogon_townsendi","Apogon_townsendi_A_2",0,0,NA
"Apogonichthyoides_timorensis","Apogonichthyoides_timorensis_A_1",0,0,NA
"Apolemichthys_trimaculatus","Apolemichthys_trimaculatus_A_1",0,0,NA
"Aprion_virescens","Aprion_virescens_A_2",0,0,NA
"Aprion_virescens","Aprion_virescens_A_1",0,0,NA
